idx,year,sf_num,to_country,performer,song,lyrics,lyrics_eng_translation,lyrics_all_english,lyrics_english,lyrics_english_mix
183,2012,1,Greece,Eleftheria Eleftheriou,Aphrodisiac,"I gotta say what's on my mind\nWhen I'm with you, I feel alright\nYou call me baby, we spend the night\nI'm so addicted, I feel alive\n\nOver and over I'm falling\n\nOh oh oh... oh, oh oh oh... oh\nYou make me dance, dance like a maniac\nOh oh oh... oh, oh oh oh... oh\nYou make me want your aphrodisiac\n\nYou make me want your aphrodisiac\n\nI think about you all the time\nI just can't get you off my mind\nYou drive me crazy, you drive me wild\nYou're so addictive, there's no way out\n\nOh oh oh... oh, oh oh oh... oh\nYou make me dance, dance like a maniac\nOh oh oh... oh, oh oh oh... oh\nYou make me want your aphrodisiac\n\nYou make me want your aphrodisiac\n\nI'm craving for your touch\nI want it way too much\nI'm craving for your touch\nToo much, your touch, too much\n\nOver and over I'm falling\n\nOh oh oh... oh, oh oh oh... oh\nYou make me dance, dance like a maniac\nOh oh oh... oh, oh oh oh... oh\nYou make me want your aphrodisiac\n\nOh oh oh... oh, oh oh oh... oh\nYou make me dance, dance like a maniac\nOh oh oh... oh, oh oh oh... oh\nYou make me want your aphrodisiac\n\nYou make me want your aphrodisiac",,"I gotta say what's on my mind\nWhen I'm with you, I feel alright\nYou call me baby, we spend the night\nI'm so addicted, I feel alive\n\nOver and over I'm falling\n\nOh oh oh... oh, oh oh oh... oh\nYou make me dance, dance like a maniac\nOh oh oh... oh, oh oh oh... oh\nYou make me want your aphrodisiac\n\nYou make me want your aphrodisiac\n\nI think about you all the time\nI just can't get you off my mind\nYou drive me crazy, you drive me wild\nYou're so addictive, there's no way out\n\nOh oh oh... oh, oh oh oh... oh\nYou make me dance, dance like a maniac\nOh oh oh... oh, oh oh oh... oh\nYou make me want your aphrodisiac\n\nYou make me want your aphrodisiac\n\nI'm craving for your touch\nI want it way too much\nI'm craving for your touch\nToo much, your touch, too much\n\nOver and over I'm falling\n\nOh oh oh... oh, oh oh oh... oh\nYou make me dance, dance like a maniac\nOh oh oh... oh, oh oh oh... oh\nYou make me want your aphrodisiac\n\nOh oh oh... oh, oh oh oh... oh\nYou make me dance, dance like a maniac\nOh oh oh... oh, oh oh oh... oh\nYou make me want your aphrodisiac\n\nYou make me want your aphrodisiac",1,0
184,2012,2,Bosnia & Herzegovina,Maya Sar,Korake Ti Znam,"Korake ti znam, kao bez glave sad žuriš\nKuda, ne pitam, jer ako pitam, ti šutiš\nI sve se teže rastajem od tebe i tvog tijela\nI sve te manje poznajem a nisam tako htjela\n\nK'o da kradem te od svih samo za sebe\nNek' te ostave, nek' mi ne diraju tebe\nI krv i dušu otrujem najgore kad te ranim\nI opet sve to prezirem dok se pred tobom branim\n\nNemoj mi kvariti dan, nikad mi nije bilo teže\nTi nisi živio sam u zlatu paukove mreže\nKao ja\nŽivot za tebe me veže\nDa l' će ikad lakše sve biti il' teže\nEj...\n\nKad jednom cijeli život naš mirno na kocku staviš\nK'o da nismo nikad rekli mi, ""dok nas smrt ne rastavi""\n\nNemoj mi kvariti dan, nikad mi nije bilo teže\nTi nisi živio sam u zlatu paukove mreže\nKao ja...\nKao ja...\n\nKorake ti znam","I know your moves, you rush like without your head Where, I don't ask, because if I ask, you stay silent And it's ever harder to part with you and your body And I know you less and less, that's not what I wanted
It's as if I'm stealing you away from everybody just for me May they leave you, may they not touch you I poisin blood and soul most when I wound you And I still hate it all while I defend myself in front of you
Don't ruin my day, it's never been harder for me You've never lived alone in a spider's web Like I have Life connects me to you Will it ever get easier or only harder Eh….
When you easily put our whole life in a gamble As if we never said: ""Till death do us part""
Don't ruin my day, it's never been harder for me You've never lived alone in a spider's web Like I have Like I hаve
I know your moveѕ","I know your moves, you rush like without your head Where, I don't ask, because if I ask, you stay silent And it's ever harder to part with you and your body And I know you less and less, that's not what I wanted
It's as if I'm stealing you away from everybody just for me May they leave you, may they not touch you I poisin blood and soul most when I wound you And I still hate it all while I defend myself in front of you
Don't ruin my day, it's never been harder for me You've never lived alone in a spider's web Like I have Life connects me to you Will it ever get easier or only harder Eh….
When you easily put our whole life in a gamble As if we never said: ""Till death do us part""
Don't ruin my day, it's never been harder for me You've never lived alone in a spider's web Like I have Like I hаve
I know your moveѕ",0,0
185,2012,1,Ireland,Jedward,Waterline,"Floodgates, can't wait\nHere she comes, shut 'em fast, better shut 'em fast\nToo late, swept away\nFeel the rush after the fact\n\nComing up beneath me\nNever been in love so deeply before\n\nI am close to the water line\nI thought that I'd been over my head for the last time\nI'm so close to the water line\nAnd the way I'm loving her now\nI know this is bound to go down as the big one\n\nWhistle blast, lights flash\nThrow a rope, grab a hold, feel the undertow\nShe laughs, waves crash\nWhat's the use? I can't let her go\n\nComing up beneath me\nNever been in love so deeply before\n\nI am close to the water line\nI thought that I'd been over my head for the last time\nI'm so close to the water line\nAnd the way I'm loving her now\nI know this is bound to go down as the big one\n\nFloodgates, can't wait\nHere she comes, shut 'em fast\nBetter shut 'em fast\nToo late, swept away\nFeel the rush\n\nI am close to the water line\nAnd the way I'm loving her now\nI know this is bound to go down as the one\n\nI am close to the water line\nI thought that I'd been over my head for the last time\nI'm so close to the water line\nAnd the way I'm loving her now\nI know this is bound to go down as the big one",,"Floodgates, can't wait\nHere she comes, shut 'em fast, better shut 'em fast\nToo late, swept away\nFeel the rush after the fact\n\nComing up beneath me\nNever been in love so deeply before\n\nI am close to the water line\nI thought that I'd been over my head for the last time\nI'm so close to the water line\nAnd the way I'm loving her now\nI know this is bound to go down as the big one\n\nWhistle blast, lights flash\nThrow a rope, grab a hold, feel the undertow\nShe laughs, waves crash\nWhat's the use? I can't let her go\n\nComing up beneath me\nNever been in love so deeply before\n\nI am close to the water line\nI thought that I'd been over my head for the last time\nI'm so close to the water line\nAnd the way I'm loving her now\nI know this is bound to go down as the big one\n\nFloodgates, can't wait\nHere she comes, shut 'em fast\nBetter shut 'em fast\nToo late, swept away\nFeel the rush\n\nI am close to the water line\nAnd the way I'm loving her now\nI know this is bound to go down as the one\n\nI am close to the water line\nI thought that I'd been over my head for the last time\nI'm so close to the water line\nAnd the way I'm loving her now\nI know this is bound to go down as the big one",1,0
186,2012,1,Iceland,Greta Salóme & Jónsi,Never Forget,"She's singing softly in the night\nPraying for the morning light\nShe dreams of how they used to be\nAt dawn they will be free\n\nMemories they haunt his mind\nSave him from the endless night\nShe wispers warm and tenderly:\n""Please come back to me""\n\nAnd when the golden sun arises far across the sea\nThe dawn will break as darkness fades\nForever we'll be free\n\nNever forget what I did, what I said\nWhen I gave you all, my heart and soul\nMorning will come and I know we'll be one\n'Cause I still believe that you'll remember me\n\nShe mourns beneath the moonlit sky\nRemembering when they said goodbye\nWhere's the one he used to know?\nIt seems so long ago\n\nAnd when the golden sun arises far across the sea\nThe dawn will break as darkness fades\nForever we'll be free\n\nNever forget, what I did, what I said\nWhen I gave you all, my heart and soul\nMorning will come and I know we'll be one\n'Cause I still believe that you'll remember me\n\nNever forget, what I did what I said\nWhen I gave you all, my heart and soul\nMorning will come and I know we'll be one\n'Cause I still believe that you'll remember me\n\nOh, I still believe that you'll remember me\nOh, I still believe that you'll remember me",,"She's singing softly in the night\nPraying for the morning light\nShe dreams of how they used to be\nAt dawn they will be free\n\nMemories they haunt his mind\nSave him from the endless night\nShe wispers warm and tenderly:\n""Please come back to me""\n\nAnd when the golden sun arises far across the sea\nThe dawn will break as darkness fades\nForever we'll be free\n\nNever forget what I did, what I said\nWhen I gave you all, my heart and soul\nMorning will come and I know we'll be one\n'Cause I still believe that you'll remember me\n\nShe mourns beneath the moonlit sky\nRemembering when they said goodbye\nWhere's the one he used to know?\nIt seems so long ago\n\nAnd when the golden sun arises far across the sea\nThe dawn will break as darkness fades\nForever we'll be free\n\nNever forget, what I did, what I said\nWhen I gave you all, my heart and soul\nMorning will come and I know we'll be one\n'Cause I still believe that you'll remember me\n\nNever forget, what I did what I said\nWhen I gave you all, my heart and soul\nMorning will come and I know we'll be one\n'Cause I still believe that you'll remember me\n\nOh, I still believe that you'll remember me\nOh, I still believe that you'll remember me",1,0
187,2012,2,Malta,Kurt Calleja,This Is The Night,"Hey, look at me and you'll see that I'm into you\nTime to believe and achieve, I will stand by you\nAs from this moment on, you and I can reach the stars\nAll I need is one more chance\n\nThis is the night, this is the night\nI will be the star, let me into your heart\nThis is my life, this is the life\nI've been waiting for, I'll be back with more\n\nSinging eh eh eh eh... yeah eh eh eh...\nYeah eh eh eh... yeah eh eh eh...\nThis is the night, this is the night\nI'll be flying high, this is the night\n\nHey, I believe you and me, we are meant to be\nI can't set you free, can't you see this is killing me?\nAs from this moment on, you and I can reach the stars\nAll I need is one more chance\n\nThis is the night, this is the night\nI will be the star, let me into your heart\nThis is my life, this is the life\nI've been waiting for, I'll be back with more\n\nSinging eh eh eh eh... yeah eh eh eh...\nYeah eh eh eh... yeah eh eh eh...\nThis is the night, this is the night\nI'll be flying high, this is the night\n\nLet me into your heart\nEh eh eh eh... yeah eh eh eh...\nYeah eh eh eh... yeah eh eh eh...\n(This is the night, this is the night)\n\nThis is the night  (This is the night, this is the night)\n(I will be the star, let me into your heart)\n(This is my life, this is the life)\n(I've been waiting for, I'll be back with more)\n\nSinging eh eh eh eh... yeah eh eh eh...\nYeah eh eh eh... yeah eh eh eh...\nThis is the night, this is the night\nI'll be flying high, this is the night",,"Hey, look at me and you'll see that I'm into you\nTime to believe and achieve, I will stand by you\nAs from this moment on, you and I can reach the stars\nAll I need is one more chance\n\nThis is the night, this is the night\nI will be the star, let me into your heart\nThis is my life, this is the life\nI've been waiting for, I'll be back with more\n\nSinging eh eh eh eh... yeah eh eh eh...\nYeah eh eh eh... yeah eh eh eh...\nThis is the night, this is the night\nI'll be flying high, this is the night\n\nHey, I believe you and me, we are meant to be\nI can't set you free, can't you see this is killing me?\nAs from this moment on, you and I can reach the stars\nAll I need is one more chance\n\nThis is the night, this is the night\nI will be the star, let me into your heart\nThis is my life, this is the life\nI've been waiting for, I'll be back with more\n\nSinging eh eh eh eh... yeah eh eh eh...\nYeah eh eh eh... yeah eh eh eh...\nThis is the night, this is the night\nI'll be flying high, this is the night\n\nLet me into your heart\nEh eh eh eh... yeah eh eh eh...\nYeah eh eh eh... yeah eh eh eh...\n(This is the night, this is the night)\n\nThis is the night  (This is the night, this is the night)\n(I will be the star, let me into your heart)\n(This is my life, this is the life)\n(I've been waiting for, I'll be back with more)\n\nSinging eh eh eh eh... yeah eh eh eh...\nYeah eh eh eh... yeah eh eh eh...\nThis is the night, this is the night\nI'll be flying high, this is the night",1,0
188,2012,,France,Anggun,Echo (You And I),"You and I, you and I\n\nJ'entends l'écho de nos pas, tous en cadence\nMarche au pas, jamais dans le même sens\nOn avance, mais on court après quoi?\n\nJ'entends l'écho de nos rêves, de nos envies\nAu-delà du jour jusqu'à la nuit\nOn s'entraîne, et on court après quoi?\n\nOn se perd, on s'espère\nQuelque part on s'égare\nUn jour au-delà on se retrouvera\n\nIn my dreams, in my dreams\nIn my heart, in my mind\nI see you and I, there is you and I\n\nJ'entends l'écho de nos pas qui se balancent\nÇa et là, toujours sur la même dance\nOn avance, mais on court après quoi?\n\nOn se perd, on s'espère\nQuelque part on s'égare\nUn jour au-delà on se retrouvera\n\nIn my dreams, in my dreams\nIn my heart, in my mind\nI see you and I, there is you and I\n\nThere is you and I\nThere is you and I\n\nJ'entends l'écho de ta voix s'éloigner de moi\nL'écho d'un amour un jour reviendra\nIl m'entraîne et je cours après toi\n\nOn se perd, on s'espère\nQuelque part on s'égare\nUn jour au-delà on se retrouvera\n\nIn my dreams, in my dreams\nIn my heart, in my mind\nI see you and I, there is you and I","You and I, you and I
I hear the echo of our rhythmic steps Marching, never in the same direction We move on, but what are we running after?
I hear the echo of our dreams, of our desires Every day until the night We practice, and what are we running after?
We're confused, we hope Somewhere we get lost One day we will see each other again
In my dreams, in my dreams In my heart, in my mind I see you and I, there is you and I
I hear the echo of our swinging steps That and there, always the same dance We move on, but what are we running after?
We're confused, we hope Somewhere we get lost One day we will see each other again
In my dreams, in my dreams In my heart, in my mind I see you and I, there is you and I
There is you and I There is you and I
I hear the echo of your voice moving away from me The echo of a love that one day will return It carries me off and I run after you
We're confused, we hope Somewhere we get lost One day we will see each other again
In my dreams, in my dreams In my heart, in my mind I see you and I, there iѕ you аnd I","You and I, you and I
I hear the echo of our rhythmic steps Marching, never in the same direction We move on, but what are we running after?
I hear the echo of our dreams, of our desires Every day until the night We practice, and what are we running after?
We're confused, we hope Somewhere we get lost One day we will see each other again
In my dreams, in my dreams In my heart, in my mind I see you and I, there is you and I
I hear the echo of our swinging steps That and there, always the same dance We move on, but what are we running after?
We're confused, we hope Somewhere we get lost One day we will see each other again
In my dreams, in my dreams In my heart, in my mind I see you and I, there is you and I
There is you and I There is you and I
I hear the echo of your voice moving away from me The echo of a love that one day will return It carries me off and I run after you
We're confused, we hope Somewhere we get lost One day we will see each other again
In my dreams, in my dreams In my heart, in my mind I see you and I, there iѕ you аnd I",0,0
189,2012,1,Denmark,Soluna Samay,Should've Known Better,"Should've known better\nNow I miss you like Sahara misses rain\nChanging like the weather\nMaybe it's true, maybe you're not gonna change\n\nI feel like you have two homes\nYet I feel you are homeless\nWhere we live I feel like a stranger\nWhen you home I feel even stranger\n\nI live in no man's land\nWith no way home, like you don't understand\n‘Cause you so here, you so there, not really anywhere\nShe said...\n\nShould've known better\nNow I miss you like Sahara misses rain\nChanging like the weather\nMaybe it's true, maybe you're not gonna change\n\nFeels like I'm always living out of my suitcase\nWhat about all the years in between\nJust trying to find my place\n\nI live in no man's land\nWith no way home, like you don't understand\n‘Cause you so here, you so there, not really anywhere\nShe said: shout Insha'Allah, shout Insha'Allah, shout Insha'Allah\nShe said: shout Insha'Allah, shout Insha'Allah, shout Insha'Allah\n\nWe could've written words on a mountain high\nReminding ourselves to keep climbing, right\nSometimes we have to lose\nA part of us to find the truth\n\nNothing more beautiful than the way\nYou used to breathe me into your lungs and soul\nSometimes we have to say: ""I'm sorry, I can't stay""\n\nShould've known better\nNow I miss you like Sahara misses rain\nChanging like the weather\nMaybe it's true, maybe it's true\n\n(Shout Insha'Allah, shout Insha'Allah, shout Insha'Allah)\nOh, should've known better\nNow I miss you like Sahara misses rain\n(Shout Insha'Allah, shout Insha'Allah, shout Insha'Allah)\nChanging like the weather\nMaybe it's true, maybe we're not gonna change\n\nShould've known better\nShould've known better",,"Should've known better\nNow I miss you like Sahara misses rain\nChanging like the weather\nMaybe it's true, maybe you're not gonna change\n\nI feel like you have two homes\nYet I feel you are homeless\nWhere we live I feel like a stranger\nWhen you home I feel even stranger\n\nI live in no man's land\nWith no way home, like you don't understand\n‘Cause you so here, you so there, not really anywhere\nShe said...\n\nShould've known better\nNow I miss you like Sahara misses rain\nChanging like the weather\nMaybe it's true, maybe you're not gonna change\n\nFeels like I'm always living out of my suitcase\nWhat about all the years in between\nJust trying to find my place\n\nI live in no man's land\nWith no way home, like you don't understand\n‘Cause you so here, you so there, not really anywhere\nShe said: shout Insha'Allah, shout Insha'Allah, shout Insha'Allah\nShe said: shout Insha'Allah, shout Insha'Allah, shout Insha'Allah\n\nWe could've written words on a mountain high\nReminding ourselves to keep climbing, right\nSometimes we have to lose\nA part of us to find the truth\n\nNothing more beautiful than the way\nYou used to breathe me into your lungs and soul\nSometimes we have to say: ""I'm sorry, I can't stay""\n\nShould've known better\nNow I miss you like Sahara misses rain\nChanging like the weather\nMaybe it's true, maybe it's true\n\n(Shout Insha'Allah, shout Insha'Allah, shout Insha'Allah)\nOh, should've known better\nNow I miss you like Sahara misses rain\n(Shout Insha'Allah, shout Insha'Allah, shout Insha'Allah)\nChanging like the weather\nMaybe it's true, maybe we're not gonna change\n\nShould've known better\nShould've known better",1,0
190,2012,1,Hungary,Compact Disco,Sound Of Our Hearts,"The whole big world is just one place\nYou can say it's all the same\nYou may feel hatreds it sows\nWe can show it's no way to go\n\nThis is the sound of our hearts, if you listen\nThis is a zeal from above and it can say it all\nThis is a fever they can't take away\nThis is the sound of... the sound of... the sound of our hearts\n\nThe sound of our hearts\nThe sound of our hearts\n\nHarmony can be achieved\nJust find some way to get connected\nDifferences may not be wrong\nThey enrich the things that we know\n\nDifferent faiths, different views\nAll we can do is to turn them in key\n\nThis is the sound of our hearts, if you listen\nThis is a zeal from above and it can say it all\nThis is a fever they can't take away\nThis is the sound of... the sound of... the sound of...\n\nThis is the sound of our hearts, if you listen\nThis is a zeal from above and it can say it all\nThis a fever they can't take away\nThis is the sound of... the sound of... the sound of our hearts\n\nThe sound of our hearts\nThe sound of our hearts",,"The whole big world is just one place\nYou can say it's all the same\nYou may feel hatreds it sows\nWe can show it's no way to go\n\nThis is the sound of our hearts, if you listen\nThis is a zeal from above and it can say it all\nThis is a fever they can't take away\nThis is the sound of... the sound of... the sound of our hearts\n\nThe sound of our hearts\nThe sound of our hearts\n\nHarmony can be achieved\nJust find some way to get connected\nDifferences may not be wrong\nThey enrich the things that we know\n\nDifferent faiths, different views\nAll we can do is to turn them in key\n\nThis is the sound of our hearts, if you listen\nThis is a zeal from above and it can say it all\nThis is a fever they can't take away\nThis is the sound of... the sound of... the sound of...\n\nThis is the sound of our hearts, if you listen\nThis is a zeal from above and it can say it all\nThis a fever they can't take away\nThis is the sound of... the sound of... the sound of our hearts\n\nThe sound of our hearts\nThe sound of our hearts",1,0
191,2012,,United Kingdom,Engelbert Humperdinck,Love Will Set You Free,"So graceful and pure\nA smile bathed in light\nNo matter the distance\nA miracle of sight\n\nThough I should have known\nI could not turn away\nWhen faced with your beauty\nNo reason can stay\n\nAs you kiss him in the moonlight\nWith heavy words I say\n\nIf you love someone, follow your heart\n'Cause love comes once if you're lucky enough\nThough I'll miss you forever, the hurt will run deep\nOnly love can set you free\n\nTrust in your dreams\nRun with no fear\nAnd if you should stumble\nRemember I'm near\n\nAs a ghost I will walk\nI'll look deep in my soul\nI might find another\nYou gave me that hope\n\nSo as you kiss him in the moonlight\nWith heavy words I say\n\nIf you love someone, follow your heart\nBecause love comes once, if you're lucky enough\nThough I'll miss you forever and the hurt will run deep\nOnly love can set you free\n\nAnd if you love someone, follow your heart\n'Cause love comes once, if you're lucky enough\nThough I'll miss you forever, the hurt will run deep\nLove will set you free, yeah....",,"So graceful and pure\nA smile bathed in light\nNo matter the distance\nA miracle of sight\n\nThough I should have known\nI could not turn away\nWhen faced with your beauty\nNo reason can stay\n\nAs you kiss him in the moonlight\nWith heavy words I say\n\nIf you love someone, follow your heart\n'Cause love comes once if you're lucky enough\nThough I'll miss you forever, the hurt will run deep\nOnly love can set you free\n\nTrust in your dreams\nRun with no fear\nAnd if you should stumble\nRemember I'm near\n\nAs a ghost I will walk\nI'll look deep in my soul\nI might find another\nYou gave me that hope\n\nSo as you kiss him in the moonlight\nWith heavy words I say\n\nIf you love someone, follow your heart\nBecause love comes once, if you're lucky enough\nThough I'll miss you forever and the hurt will run deep\nOnly love can set you free\n\nAnd if you love someone, follow your heart\n'Cause love comes once, if you're lucky enough\nThough I'll miss you forever, the hurt will run deep\nLove will set you free, yeah....",1,0
192,2012,2,Norway,Tooji,Stay,"I hear music as I walk down the street\nStart moving to the rhythm, heart is pumping the beat\nI hear the people shout out: ""Turn up the music louder""\nBetter start running if you can't stand the heat\n\nWhat's it doin' to me? I feel it settin' me free\nIt's like I'm losin' all control\nYou know it's makin' me hot and baby I don't stop\nIt's like a fire in my soul\n\nI don't know what I'm doing tonight\nBut this rush, it is making me stronger\nI don't know if it's wrong or it's right\nBut I know I want you to stay (Nana nana nana)\nStay (Nana nana nana)\n\nMy heart beats faster as I'm scanning the crowd\nMy meters are peaking, I can tell you're around\nIt's like I'm on a (high now), nothing can pull me (down now)\nSirens are calling and I can't kill the sound\n\nWhat's it doin' to me? I feel it settin' me free\nIt's like I'm losin' all control\nYou know it's makin' me hot and baby I don't stop\nIt's like a fire in my soul\n\nI don't know what I'm doing tonight\nBut this rush, it is making me stronger\nI don't know if it's wrong or it's right\nBut I know I want you to stay (Nana nana nana)\nStay (Nana nana nana)\n\nWork it, move your body, baby\nYou better (work) – nana nana nana\nYou better (work) – nana nana nana\nCome on now, work it, move your body, baby\nYou better (work) – nana nana nana\nYou better (work)\n\nI don't know what I'm doing tonight\nBut this rush, it is making me stronger\nI don't know if it's wrong or it's right\nBut I know I want you to stay\n\nI don't know what I'm doing tonight\nBut this rush, it is making me stronger\nI don't know if it's wrong or it's right\nBut I know I want you to stay (Nana nana nana)\nStay (Nana nana nana)",,"I hear music as I walk down the street\nStart moving to the rhythm, heart is pumping the beat\nI hear the people shout out: ""Turn up the music louder""\nBetter start running if you can't stand the heat\n\nWhat's it doin' to me? I feel it settin' me free\nIt's like I'm losin' all control\nYou know it's makin' me hot and baby I don't stop\nIt's like a fire in my soul\n\nI don't know what I'm doing tonight\nBut this rush, it is making me stronger\nI don't know if it's wrong or it's right\nBut I know I want you to stay (Nana nana nana)\nStay (Nana nana nana)\n\nMy heart beats faster as I'm scanning the crowd\nMy meters are peaking, I can tell you're around\nIt's like I'm on a (high now), nothing can pull me (down now)\nSirens are calling and I can't kill the sound\n\nWhat's it doin' to me? I feel it settin' me free\nIt's like I'm losin' all control\nYou know it's makin' me hot and baby I don't stop\nIt's like a fire in my soul\n\nI don't know what I'm doing tonight\nBut this rush, it is making me stronger\nI don't know if it's wrong or it's right\nBut I know I want you to stay (Nana nana nana)\nStay (Nana nana nana)\n\nWork it, move your body, baby\nYou better (work) – nana nana nana\nYou better (work) – nana nana nana\nCome on now, work it, move your body, baby\nYou better (work) – nana nana nana\nYou better (work)\n\nI don't know what I'm doing tonight\nBut this rush, it is making me stronger\nI don't know if it's wrong or it's right\nBut I know I want you to stay\n\nI don't know what I'm doing tonight\nBut this rush, it is making me stronger\nI don't know if it's wrong or it's right\nBut I know I want you to stay (Nana nana nana)\nStay (Nana nana nana)",1,0
193,2012,2,Bulgaria,Sofi Marinova,Love Unlimited,"Dorem dem dem dej\nDorem dem dem dej\nDorem dem dem dej ja\n\nDorem dem dem dej\nDorem dem dem dej\nDorem dem dem dej ja\n\nPesenta, njama granica, ezik i cvjat\nNe poznava beden i bogat\nVsički pejat po sveta, pejat vse za ljubovta\n\nLjubovta njama granica, ezik i cvjat\nRavna e za vsički v tozi cvjat\nZa teb, za men, za tjakh\n\nSeviyorum seni, s' agapao poli\nYo te quiero a ti, volim te, mon chéri\nTeb običam, samo teb običam\nTeb običam kazvam az\n\nBut dehaftu mange, voglio bene a te\nMən səni sevirəm, ya habibi, je t'aime\nTeb običam, samo teb običam\nNjama granici za nas\n\nBolkata, njama granica, ezik i cvjat\nNe poznava beden i bogat\nPadat s'štite s'lzi štom života ni rani\n\nLjubovta njama granica, ezik i cvjat\nRavna e za vsički v tozi svjat\nZa teb, za men, za tjakh\n\nDorem dem dem dej\nDorem dem dem dej\nDorem dem dem dej ja\n\nDorem dem dem dej\nDorem dem dem dej\nDorem dem dem dej ja\n\nSeviyorum seni, s'agapao poli\nYo te quiero a ti, volim te, mon cheri\nTeb običam, samo teb običam\nTeb običam kazvam az\n\nBut dehaftu mange, voglio bene a te\nMən səni sevirəm, ya habibi, je t'aime\nTeb običam, samo teb običam\nNjama granici za nas, I love you so much\n\nDorem dem dem dej\nDorem dem dem dej\nDorem dem dem dej ja\n\nI love you so much","Dorem dem dem dei Dorem dem dem dei Dorem dem dem dei yah
Dorem dem dem dei Dorem dem dem dei Dorem dem dem dei yah
The song has no borders, language and colour It doesn't recognize who's poor and who's rich Everybody sings in this world, sings about love
Love has no borders, language and colour It's equal for everybody on this world For you, for me, for them
I love you, I love you so much  I love you, I love you, my darling  I love you, I love only you I say that I love you
I love you so much, I love you  I love you, my love, I love you  I love you, I love only you There are no limits for us
Pain has no borders, language and colour It doesn't recognize who's poor and who's rich The same tears fall when life wounds us
Love has no borders, language and colour It`s equal for everybody on this world For me, for you, for them
Dorem dem dem dei Dorem dem dem dei Dorem dem dem dei yah
Dorem dem dem dei Dorem dem dem dei Dorem dem dem dei yah
I love you, I love you so much  I love you, I love you, my darling  I love you, I love only you I say that I love you
I love you so much, I love you  I love you, my love, I love you  I love you, I love only you There are no borders for us, I love you so much 
Dorem dem dem dei Dorem dem dem dei Dorem dem dem dei yаh
I love you ѕo much","Dorem dem dem dei Dorem dem dem dei Dorem dem dem dei yah
Dorem dem dem dei Dorem dem dem dei Dorem dem dem dei yah
The song has no borders, language and colour It doesn't recognize who's poor and who's rich Everybody sings in this world, sings about love
Love has no borders, language and colour It's equal for everybody on this world For you, for me, for them
I love you, I love you so much  I love you, I love you, my darling  I love you, I love only you I say that I love you
I love you so much, I love you  I love you, my love, I love you  I love you, I love only you There are no limits for us
Pain has no borders, language and colour It doesn't recognize who's poor and who's rich The same tears fall when life wounds us
Love has no borders, language and colour It`s equal for everybody on this world For me, for you, for them
Dorem dem dem dei Dorem dem dem dei Dorem dem dem dei yah
Dorem dem dem dei Dorem dem dem dei Dorem dem dem dei yah
I love you, I love you so much  I love you, I love you, my darling  I love you, I love only you I say that I love you
I love you so much, I love you  I love you, my love, I love you  I love you, I love only you There are no borders for us, I love you so much 
Dorem dem dem dei Dorem dem dem dei Dorem dem dem dei yаh
I love you ѕo much",0,0
194,2012,1,Switzerland,Sinplus,Unbreakable,"You can do anything you want\nIt doesn't matter how hard it is\nYou can do it, you can do it\n\nSo please, don't mind, close your eyes\nTake a trip outside your head\nYou can give me more\n\nSwim against the stream\nFollowing your wildest dream, your wildest dream\nSwim against the stream\nFollowing your wildest dream, your wildest dream\nSwim against the stream\nFollowing your wildest dream, your wildest dream\n\nUnbreakable, unbreakable\nUnbreakable, unbreakable\n\nDon't stop rock, rock this place\nDon't stop tryin', try your best\nDon't stop, don't stop movin'\n\nToday without a doubt, a good vibe is in the crowd\nYou can do it, you can do it, you can do it\nUnbreakable, unbreakable\nYou can give me more\n\nSwim against the stream\nFollowing your wildest dream, your wildest dream\nSwim against the stream\nFollowing your wildest dream, your wildest dream\nSwim against the stream\nFollowing your wildest dream, your wildest dream\n\nUnbreakable\nUnbreakable\n\nSo please, don't mind, close your eyes\nTake a trip outside your head\n\nUnbreakable, unbreakable\nUnbreakable, unbreakable\nYou can give me more\n\nSwim against the stream\nFollowing your wildest dream, your wildest dream\nSwim against the stream\nFollowing your wildest dream, your wildest dream\n(You can give me more)\n\nSwim against the stream\nFollowing your wildest dream, your wildest dream\n(Unbreakable) Swim against the stream\nFollowing your wildest dream, your wildest dream\n\nUnbreakable",,"You can do anything you want\nIt doesn't matter how hard it is\nYou can do it, you can do it\n\nSo please, don't mind, close your eyes\nTake a trip outside your head\nYou can give me more\n\nSwim against the stream\nFollowing your wildest dream, your wildest dream\nSwim against the stream\nFollowing your wildest dream, your wildest dream\nSwim against the stream\nFollowing your wildest dream, your wildest dream\n\nUnbreakable, unbreakable\nUnbreakable, unbreakable\n\nDon't stop rock, rock this place\nDon't stop tryin', try your best\nDon't stop, don't stop movin'\n\nToday without a doubt, a good vibe is in the crowd\nYou can do it, you can do it, you can do it\nUnbreakable, unbreakable\nYou can give me more\n\nSwim against the stream\nFollowing your wildest dream, your wildest dream\nSwim against the stream\nFollowing your wildest dream, your wildest dream\nSwim against the stream\nFollowing your wildest dream, your wildest dream\n\nUnbreakable\nUnbreakable\n\nSo please, don't mind, close your eyes\nTake a trip outside your head\n\nUnbreakable, unbreakable\nUnbreakable, unbreakable\nYou can give me more\n\nSwim against the stream\nFollowing your wildest dream, your wildest dream\nSwim against the stream\nFollowing your wildest dream, your wildest dream\n(You can give me more)\n\nSwim against the stream\nFollowing your wildest dream, your wildest dream\n(Unbreakable) Swim against the stream\nFollowing your wildest dream, your wildest dream\n\nUnbreakable",1,0
